record_index,image_name,provenance_file,original_provenance_sha256,original_image_sha256,tampered_image_sha256,image_byte_offset,image_byte_before,image_byte_after,original_label,tampered_label,original_quality,tampered_quality,original_identifier,tampered_identifier,label_tampered_provenance_sha256,quality_tampered_provenance_sha256,identifier_tampered_provenance_sha256
11,6_0.jpg,6_0.provenance.json,98be3a507730f6de4b54e172af0785c74852bd8f1e11734574b853e5215c9d98,ab07aa8ced9615715753197194a28e41e68d61bc34a6035fcd3f6f791b10e7ba,34b272d71c3cb630157fa55e9d4de55e2916b065b18e988e694a3a28624ac0b2,67060,26,27,GON+,GON-,7.04,7.05,6_0.jpg,tampered_6_0.jpg,00b99f520010de5b3d7e374b4daab76dabf9b5795673f90782f76325f8487c90,2e5e837aecd4d1baa23f030821dd6bcf351f0ec9b134047d55a4eda2d006b2f6,f8ee6a89740e6fd88ee64a68537457722347348fe448eeb402491a7dfe765ed1
12,6_1.jpg,6_1.provenance.json,2bd0b973851d02546c1496a1d2b6af98849ddfe92cdc83b33384c8eab3efa4d2,dfb217c7717a5327d184db6b3da614540574a3a2c12000ed8930412892bf8f01,b3fc40db408e10c55add661a844019d3b61439902e6655b2401f55b5a7414981,65210,140,141,GON+,GON-,6.19,6.20,6_1.jpg,tampered_6_1.jpg,78161aea7475b5415b57415a76eaa42b5e5c9b4a88e246af4d9dade26e5d1419,6145a064f7e1343ee242fcdeb3388c7b996383dec8b1106e847dcbb1e53e8c3c,c16a3575bf54d540d9badd37610e2d6f808574012482a320c769e3754d2af16c
13,7_0.jpg,7_0.provenance.json,4414a680f7fc7b2b79b38d163fa8c2f2e8e87e7d83dd3809a339cf4b9d634d2b,8ed3a60d69852badce5b3214e6521a3b5e0548fbe521161b00ccf412c48f69e5,fa209748e7212f1d2770560b7dd100c782974f8996844db95da80619c777616f,61527,15,14,GON+,GON-,2.34,2.35,7_0.jpg,tampered_7_0.jpg,472082ee7edb21df6e886626c07144e5008edd83716b78a079b5ee915e30f10e,ced0c46039fee64b5e91d39ffacabf1405f7ef7da4012dda56a80d390ec8e6cf,4d225b643a7d5b44cf096191e2e583f4fbb3907e258236bb104e0c9b6d4237ab
14,8_0.jpg,8_0.provenance.json,be7c0cf22e028b5edbf4906ac6d92bde909344fd26f883f8a8fa81f7e42d4a76,4b5f05c79316c8268490d596c8d383d18e363f3b20d051e93a86b983fb53acf7,e0039523c6ae1ef0bb0612f38fd452177318abcf629cc0af78918812ef1912e2,67705,28,29,GON+,GON-,4.22,4.23,8_0.jpg,tampered_8_0.jpg,abe44736d7e91da8ef8b51eaed17d329ab9f06de24df395127441b0616447ccf,7e010c5fb507786d3e873aea3b9d8ffa9f2d075a4526bf82464e086ba5c29f07,8b0feb286d528d1dcfb6a214f2d46510e43ca87bcca967f5af014c9140023328
15,8_1.jpg,8_1.provenance.json,218798bedbc843dc2e9b959f23719a057b7f7a7e243036725b034ac0743a14d1,5aa27351539f274e74780f6e18742a2943edfbcd87ba806a23fd2c101a1708b3,ed15f240d33a12ba3f6dc11edf2465f7363fe48e83c229cfeaf0f5985dae0277,55860,169,168,GON+,GON-,4.25,4.26,8_1.jpg,tampered_8_1.jpg,5bc645dfff6f3dad07ba7c2ec565e636c448e23c89bc32a7119a47c888c40e7c,8fc83df720240590c58890b12113ecdfb0313063a90ebf0886b2a6d7c29910b2,9b83577146f7e273c5fbe35875fbbeda327c78e9fc0a455533e7d8321041c232
16,8_2.jpg,8_2.provenance.json,89e08d37d351f04f5e9b944fe4c91dc515dce41502ed848aed0b9e9935b72d80,09214e17283342290f377f778e8870c34318b48593a5551d0f9e33e7325bfa51,d517dc3ddd8cdd35c70b62c75bfc9afbafc11dfc54887e71ce61b9341073abe3,57140,138,139,GON+,GON-,4.73,4.74,8_2.jpg,tampered_8_2.jpg,9cbaf7a77f28a79484504ac23b1a35c45916bd5527950fc9187c5d724484f89b,bdd3957c0517699112437eab52d47812c7dc440caa2855a0565fd8f97a62a69a,0dc3b8516996e983e2c8564c6e5e434df6ae355ecb25cb533ffc5c68bd116b04
17,8_3.jpg,8_3.provenance.json,5bb6d8d86ee904d70468ff9f14dd84fcff36c727172727828b50b2ad04c58012,efd19b37c78b07dd5771b427acf61a88a36a2f554e5cedc7feecae82a699a5a0,86466282f07e811247786fa5cb0f9f1715d4a201169f5f557a395f03170a039f,60891,82,83,GON+,GON-,5.57,5.58,8_3.jpg,tampered_8_3.jpg,3d49d1359ca481fe1b492264703b2dc483d85d17628ad635f6fda273d249a790,6f0dd1b18b03713b80719a537ba3112a7a061bcc567525bf344123d57a2e5d55,ea42a96e0f618b2fdd7ee8716e84fa99e1ef67f9591a76b032c34151682db78a
18,9_0.jpg,9_0.provenance.json,77f5904b19119263027a872eda5683057579cca3cac29c31d4e1966ec7c1255c,2ebc5356cf81e6fd6cefb54a8088fa5d756ec70bd00a5caea86e8d405ed42375,aa38ee3bae2ba8eb606bc7fc11f495bb8bb7ca6d6d47df2132ad27f0ad9fe41c,82126,8,9,GON+,GON-,5.32,5.33,9_0.jpg,tampered_9_0.jpg,7ab4f52f6e2a1086f2cee237e2ba2044fde55b130dfcf37413ce8cd8bdfa9b52,4ad0ec843acdb453fc13bc3f2f93a5c46a887b0d3c146bf4573efceafee2b24e,313a85c3206e5f3c65cccc6c9c58e440ab6d294f3e63a1a4a6b1b52f5137fb04
19,9_1.jpg,9_1.provenance.json,70f40145dc84a34f3828f1c8cf206447433acbf39b394b2dec6906ac8b49adf2,cb1f0e5d454c25a758b05bdce05aaf1d5fd4cdeb4158dc1bd62eb936b70ba2f1,734ece71e34f6ff10ec943f20df133b5824c2fc1cd34f16b877e991d61d38730,69297,138,139,GON+,GON-,5.90,5.91,9_1.jpg,tampered_9_1.jpg,ad83115888fb8dacda8a47f7038d07096e0e555706d2fc570c1f50e37e16eea6,b034f33802f3996666e57027675dae01acfce7917419596cd2090222fcca990c,15b5c08231a7b7e7a56bf854b873d86e66628a2db9a46d3ce5963e4a16d73c6c
20,10_0.jpg,10_0.provenance.json,45914068f8efd963be7694a41c3aa0442809a530d29706727138ba9360253775,e3ae9336787cfb76ffd547930fc402fe6a3e658c2ea0896d390fe3174f24da35,272678b4d42fba2f9a90679e6044b5c07c69efa31ecc27c7732dc696eadc78c8,62182,202,203,GON+,GON-,6.45,6.46,10_0.jpg,tampered_10_0.jpg,9a9fd63e280a40961394f1b3853f9ec25f7202abd3e0666b426c6c9aeb858d0d,0215aec865f14c2dff03b7708020dfb2c6efd7a07353060adf147ff9ad7d0b10,d4c8363ba916dbe59f1cdf85102dedcc8d5925b213e67b5be25c5699dc878be7
21,10_1.jpg,10_1.provenance.json,d0ba670fa8e22e2ef23d20cec9264d3c6e0c5d507f6ea789f898eb47dce336c7,f8efe2e027ac6b9e9d2cc6ffcec93347386938b06b3bfcd61ae0edd94438bafd,7b1caf943d9f3811643c8d73b7fb28a7ed53750b7dabc1792eba14aa75c005a6,58950,105,104,GON+,GON-,4.41,4.42,10_1.jpg,tampered_10_1.jpg,5e939a690de503f52ea78290c7e89dc720ad2f700fcab3369e7836767e83ceb1,2a6892803f59b60d50e0e410426225e26e71e73c43a85becb1fdb0cee301a358,974a6950a95e203c971860e77f683427e14348129cf490235ec0677aa0744478
22,10_2.jpg,10_2.provenance.json,f1f8e4bf37451a365d6d929884c1dbe07a17a123775fb72cf1c4aab7a7983942,6eb87d2bf2bb8308517ce981d3860bf3d25451b14fbb7b184905709bba1f5666,b17c90497b1578206294c8f46d9219bfe32f829de70d3162c986861906531e9d,54912,30,31,GON+,GON-,3.33,3.34,10_2.jpg,tampered_10_2.jpg,6cede980f1fd74989c8b41b1ab7816d68ec5c006eb7249d6b5dd87f29bfcb8d8,df79f3b9149640bad202d3d60fc7b2a47dca791814c0f62286a2167d5e265966,0b63a7f29396ffad13dce3d91b1865f6ab39bdeab66d3389be6de7fc720f253e
23,11_0.jpg,11_0.provenance.json,f7289628fd1f57318817f9b53dca22d6f4ef87d1b573b3c1a32169c2b06791fa,57c8d85cf81b3ebf36800b230c5fa8982f5eecc29b86a66f07580355eab37748,042403c334a1205f5781f64e13a5c8405e77653e5e816a727108f9f122934aa5,58273,160,161,GON+,GON-,5.41,5.42,11_0.jpg,tampered_11_0.jpg,b45b5e992ede286f062c67a3fd44f64d32ba7285d133fd6732b1bde204a94132,004f29cf8fd9610d4cf64810a78e2f3d41e726b1ff0710b7c41f1f3a7582558a,48c25173ffcc6a651decb204fd8f0ce990fc6d72a856e88f91fc3a01ed6e882e
24,12_0.jpg,12_0.provenance.json,3446eb4146a639319e3699bccd0a839150af7f2a220e4f62a3ace005756d6458,4467f6b99c351d9def128eb95b1540ba1d1b7839f39242e0c5ed42a1c0c8f897,77a9f792333853e94f9de6febd8b56e2f02f273a08dea7b3190a89ff2cac731c,65103,77,76,GON+,GON-,6.99,7.00,12_0.jpg,tampered_12_0.jpg,9cb6399cccf3ad9ea404ea0812a6989ca68481e0542c63a5d65f93835e19c38c,d9510483c7f56799787233d5da641ce0a4056d5483b6c3b71ede8676e50167fe,1c6a444f5518ac2586e565014afcf97b30834f026264c8ea8a31040ed51f2907
25,12_1.jpg,12_1.provenance.json,ff29cbed78f883112d46c7e36416ed6b38e8dc11def21503807d3cda387606c9,dbef6341c58a76488d8d4ae86526c6a1b28ea2711bf3a6c018b7e0ba45c472ab,bf728cf30cb7129805efd71be95daebce9be8d66179e8325dab41fce0c0a5e3b,67753,115,114,GON+,GON-,5.60,5.61,12_1.jpg,tampered_12_1.jpg,36e33779169887fe7229ceb5eae6fb353789841cd812f89e73d3970701f4935c,9ef066aee0dc29428d6a625d6653f7b4fa13ff28cc0b197b040808f74940f128,426fc00d0b519d4be9c44496440dee302873b853d8326bb5022a3b4f12afcfa8
26,12_2.jpg,12_2.provenance.json,2d89ab794f8e14fc1fc37bf84fc85fcc5044ed192e06fa1a6c0ce1384792d59a,0515214bce82237040affd0bf6e5b57fdc883605d8867d2dfce7c4c8342fa65a,7151afb175d79899b56fb0f8f8cb8835ea59f94066b79356c780c9aed2733160,63502,154,155,GON+,GON-,6.88,6.89,12_2.jpg,tampered_12_2.jpg,d7c4f86e99cc99c447fe69dc96b9430f41a1e8c9b6feb9024bd09576c9d96ab6,307198b50e7b941b62f6f1e69fe838c9d5e7b616b5f9b94c3cd997c89efcae0b,162aedb5bb1541ffa1343bdd44892a0e6e70442dc38d1aa8782e53d418bed78a
27,12_3.jpg,12_3.provenance.json,05e66db4f2de0beca27da8a0af03a910b981d2d0b690ae6e74249b46d7020b8b,cbc92be7395403fb1371e2cb4d3829ced46753204a0ecd634a3d5d6b89125a87,9916fb302dcf20e0afaaa45d928973340c7f648194384a3bfb8a2bb7de4e7c3e,68569,147,146,GON+,GON-,6.99,7.00,12_3.jpg,tampered_12_3.jpg,0fd1ed784fdf89cf7abf3adbc98a1336114f10c749debc5eb1a985997a838a61,8d2ca0b1753a68caf61ce130ed51235e591f0e3e1da607e890aa20adc378ca95,a93a2f7fc29a0ca6b7bc6cb865cb62004f6116ba9f05c5445e9a694d70e6556a
28,12_4.jpg,12_4.provenance.json,c9db7cd62398d75b35643ca0ec91a3d25fef8dc7fd55a774467cc5ea8007c2d4,a5583245d1132b886a211a6d615c5b700572ce7d2ff8e282825bb14f5cf728a4,b1a44a351fb6f59537ea99d466a58a3a313e24e574a0108c4ea60f6bc0b5e221,71116,193,192,GON+,GON-,6.01,6.02,12_4.jpg,tampered_12_4.jpg,b25fa33961496e6853bf2d3dee3563ccb6356d68a0804032c49041c4e0576218,22e714f17deb1e2fe2a9e8ef37edea8ae8468eb10d2d0518fcea0849da00a0b9,7eb6ce0160e05d4e8b4bad9aff8a9f19aef79e675348bd55ebba84f0a96966ec
29,13_0.jpg,13_0.provenance.json,98654eba34198d9ccec41478aa3d3be0d75924c4c5265044cbe2573a92bcc9a1,dfd83e03966d3507ca2425d0fcd64788636e145cf948d417d53246694e3868d7,a56f873dcaba6aa1665d0ac107c6d64ae31d17a6b874d9f2e3e55d11844e5ed8,72245,174,175,GON+,GON-,6.19,6.20,13_0.jpg,tampered_13_0.jpg,911bdc767cff59172909f5dbdf3e702218e69c76b898ad3d48744b81cbe2059a,31683201b3563b837c82405abfcf720ed32d8c2aef8766405deb3062e36155a4,1d906e69c6af98507d78ae5942758487dbd4b7fdf70ec8f00284a34cb65d61fe
30,13_1.jpg,13_1.provenance.json,4b644783a881d1643384b9c014fd16be8b0a7d4782958f71b89870c2ad504d90,19eaab4e0a7206989c83f79d261791a7adc1b226a146800deecd37f70bceb1c1,a196068ff11e2860bae63ac66e80cfa354a6f9e495213eab69f6227ddbbff390,61334,148,149,GON+,GON-,5.93,5.94,13_1.jpg,tampered_13_1.jpg,cba32f7a98e5561cd1c0c602aa7b82af3218a8a86143d66997fbaa822b9ef743,eb172fa4f7f0c8bc4522e2f5523eed9ebe6e433d39331e9a2a0e855a0be39516,307d4b4d3f91c56d68559310b10fdc168fd311e66c4a1d96d7441584bc595635
31,14_0.jpg,14_0.provenance.json,fe7a39ffb0efd50edb5b05811d05f7ca4f9acf2b0d9da17bdde2dbf280503504,66b71265c37b91720ed8874e4d5fc337d7a5073fe5ae821ee544cc2ae77b034a,e6a77fb5ec8dca803abbb857cf65e9ff864c68fcc8ee8d9bf360ee2be291ed87,54386,165,164,GON+,GON-,6.13,6.14,14_0.jpg,tampered_14_0.jpg,abbaa11531acb00ef20409b7817d1d1e436fe47ed39968d14cac3cc2e55df043,405b13003f448898937671b05dd1f6d4ae3aee094acff5708cfa06bd97ea3c5d,db06557cbc99c38326f8c576d459d1518a0a0c0844365045fbccd86ae778e8c1
32,14_1.jpg,14_1.provenance.json,6a263e5f6455bf595377bbc4780670e294f824ec8386e1fc0521209e31a29af8,5a9f73434ad5ed608683d9962d93f8229121014e14e2ee7e373d31909502517f,1e88e3104e6c39dc3543ec4cd710c41cbe13921cec6e6f7da2a914a86bc0a302,44699,134,135,GON+,GON-,2.75,2.76,14_1.jpg,tampered_14_1.jpg,6568c018ff76ccfb540f648c3b1b04fd5e5af7b2f0d1de03b508494bd77bb7a7,802432f4bba526a19706da4fa8b0a2656e5797967b946b96b41af805535b3836,2be2cd9b9d5084230948aecb2df226cca8b9052543be9f80427962acac3625bc
33,15_0.jpg,15_0.provenance.json,14d49735f20c972b95b235617a8c68e3e1ac9b5c631f71a412281b3b10edd50d,dc5078c969534ddc09fe4f69fd8d1793d1293ee09c3b10adb04599221132aac9,1167b3082f12d2b9d43f423c53d64d2e13b50335188646d9f2a215b58ea4d0a0,56511,83,82,GON+,GON-,5.45,5.46,15_0.jpg,tampered_15_0.jpg,40f386aa8d60ef2ae2b24e62913e529a020f08db6c3b61175aa59512b8a76f44,ad45cd9871aeae7115730cf0033d85e89346d9f61b110d923b0917109e435bf7,3b88608d63bb1d1e55eda13ce858c7a1f781ce70491be808acde05060e3d7094
34,16_0.jpg,16_0.provenance.json,1cfdd825338f6b9c447d834e1d52178086f17f7c6608e7bfbe0c1dd4feab8c2b,ee1e29c7d5969589079e20ddedc1b6d0a1157b1b2d0e4b7501a970606b0bbd23,7a9dec9afe2870f14077a2fc07f0e7adacd97195a2edadd6bffaeeb18b59afc2,68814,78,79,GON+,GON-,4.92,4.93,16_0.jpg,tampered_16_0.jpg,658bba8e58ea3af27d5d3933f3a576566b4eba7497d8e29459448302bf236bce,429c3b2e35bd68c9575a1c2dd77459581c5ea809323ce330881e189d968776e3,0916b5a098b80c605bd04405bd11745488d9126e9ec51a202b1f25aa2f55cc49
35,16_1.jpg,16_1.provenance.json,019523361a866221fe9444cde698d537d5a6f0b4d7fee9f82cc7fb14696384f1,0cfdd11aacf7e987425959a4d2396cfebef92d697f95dcda424211d554ee517f,86725edff5a1f4ccb4d71169d24db71e00a73d41ed5d57f8ae2af4052ceef500,57117,26,27,GON+,GON-,6.12,6.13,16_1.jpg,tampered_16_1.jpg,dff3b2dccf843bdb1d41c86438cb415578c57890d1d064fad2b42114f47e107c,44e50f7e720be48c8391907a66e957ae39dfcef6361ba1af547cd2c34afa566f,e1787dd6e4a6cb46a673a8e0c9c410f9e198b323dab8aa4d22e7dc79076ecbb5
36,16_2.jpg,16_2.provenance.json,b0192d80c1635179b4867127b30d30072de4897e77687bbb6ad39e4ae7dd649c,fbccda8f6602a762c71250a01cfe29be2af05d23e6c3e943b72aecdf8f12e65b,bb3438bcfba6f4fde9f682f479ae05feccb0102a423fbbc22014b75643048c81,69864,122,123,GON+,GON-,6.50,6.51,16_2.jpg,tampered_16_2.jpg,30baceeba1fa6238a3fa7df3cb7ab065bd4dbe76271394a7e4a28b3bf114022b,6dddf45303dcd7def4006873ca21734a2ab2001ee6ed98e25d5a564f5a864531,2dc98cbee0d61097075d642ec8647c1138f1439872970c6e25eb83d8b4bdfac2
37,16_3.jpg,16_3.provenance.json,622fe5df75d8679152eed8056771ec2469c5af495ba6b3c9a9915499de49afb9,692a4f3fd36beeb201babd371c994d8bd626e5900f7c3e1cab06bc5996de2740,4c5540b887442f346a96777c2648b71353afeb8ac967398227d170785d85f1fb,62095,32,33,GON+,GON-,5.44,5.45,16_3.jpg,tampered_16_3.jpg,e46e9594637f272230d74665df99001e866537937ef1b4a395f013120269a972,a4066f6094228f0ed94b57e894fadef6f424159e512bb41428f8eada587ad314,aa846e130de9a04e70762c8295ca8c440b2405fbef0713766ebf2ff563b85a64
38,16_4.jpg,16_4.provenance.json,8e623a07697b0d69f8aa789828cd158f69faf9868d15401352aa7f7cfe03454b,9b432fe686ff6ee7ebe8d4991d3f8cfc4484680aff2fb1528357a45952a0d122,d96aefb34dc3beebcde7e93bdec228bb50f3816a05bbf467b5a62ef6408261c6,64880,49,48,GON+,GON-,5.92,5.93,16_4.jpg,tampered_16_4.jpg,63c8a9dea939dc9255f6002e3cc3c3cd6917198172fa40563fdc836a21738a12,1cec7cf62b4e3af821decb00cbd65d7c8752a2b0310536e2551aa1fe5c5f4879,5a9071875eb5c452efab5d48dd8c9bafa7aa0316d670e5072b31941cec4a1c80
39,17_0.jpg,17_0.provenance.json,72f0f2fd6c1390216419a490f1bac070a9c73b417034328282da62e0ea4f2ca7,91086294a262a278d58ae36d826087552680893d5fbb6e3612c03ffd958676f3,5ed6c400e85612518fc079e257b51af034fbb35b694d9910341e6db60f46941b,57538,6,7,GON+,GON-,6.79,6.80,17_0.jpg,tampered_17_0.jpg,a6ca893b62660931d7b5083098c38bd5c105c5cc692959292d6a26c9e5256871,92d31e143d3419803a979557fc09bd34af9816f6f0b759316f1533925e88c287,c082d1b8696a98896f6ade3cfee8b53a1570e3f82c66d95f24a574de16c6f3ff
40,17_1.jpg,17_1.provenance.json,afc8c340b518e3464506e81fe374cdb77cec7ccf4e7322e3b62302a3675f0d67,a17fa1d4c32bd54eaf94e4c48814f899abccb2ac0bde88706afdfeef63238110,7012e8d0a6a3cc8f60d2ed42fbb0ca4597a7dc0fc9bd73e43fd8548af09f060a,66693,226,227,GON+,GON-,7.04,7.05,17_1.jpg,tampered_17_1.jpg,ecfc7d7c9aa5049f047e5a8abb98088044d4eaff78f5504cc2149ecb81c82469,7782411ebec8302033861fb5a8038cfcac4ea5fe2230e85cc801bad8e9aad894,7c666130f51f460d54559fde99f3092e8993fa52a859128ee981122c5a758342
41,17_2.jpg,17_2.provenance.json,8f7216f260324794741da9d351a686e898f03c204f196f5d5eb9f7bac700a9b5,212f0460c53bf4d03e7d206d66d294db297ef79faa9066175a66275ca07680e0,f96d67b75e603e9c51187824c2a73bedcefad83fec866e096fcd999984889f15,66561,6,7,GON+,GON-,6.47,6.48,17_2.jpg,tampered_17_2.jpg,94079140c575024ee78c519e7491abb05130e55f0c6e5ce7505229dcf0f8a2af,cf38467aa8fd3b8ebae104548836d11fb625345d000049c97e14aeeda8efc8b8,ccdf9cb91b188035946fb813bd80985235041a3fe66495eb225dcabfd4f1d735
42,17_3.jpg,17_3.provenance.json,6e33ab9823351733f7933f8fbae1fd91bd99a99204a444b46d8adbc1af22e8eb,367c854c6dd9143eda3952aca3048dfddf44e732dfc506d3ef87fe2d706879fa,9893327f8439e866f33056f1247fb340dd3e728a390cb5a8441209a349d8fcd0,73052,52,53,GON+,GON-,6.96,6.97,17_3.jpg,tampered_17_3.jpg,661684b98670957c1df19c359d2f80f27cbd08e9f413dc9858486a4bd25d2286,e0d330b44d11e7959c3743452dbc82b1b009c548cfc2a32ddd42ea77c5c40258,088bd5d0bd87177a84a70825e41c6e2fbe47dc63e6393db35a0bb3264941368b
43,17_4.jpg,17_4.provenance.json,65ca36599e6d969d33dfb6ea3ec5853b9571d4d28bff66d6ea5615f1e52bddb5,e7e5a0002f8b62aaf9d3192d69b5003864f6bb158b33d5b60f86d1d6f489c537,a38a30e3c7eb6111cbee3037e2a50ba7a52afcd0306a38d81effb179f0055a29,64027,59,58,GON+,GON-,6.93,6.94,17_4.jpg,tampered_17_4.jpg,8f6c705cb379d1f488e1a3519da232d19de03d39581a29eab999b0c208a5d49e,8be13cec12ba055ad97862535bbcb38c8129bde95a09ffbdec1bcb9df4dd8049,cd37210fb695efa5dc01cc6ccaf337d50e450f7fadda3407d3a3172e7e98ac30
